rank,prev_rank,name,league,off,def,spi
322,318,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
323,319,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
324,321,Tijuana,Mexican Primera Division Torneo Clausura,1.14,1.43,38.95
325,307,Inter Miami CF,Major League Soccer,1.21,1.51,38.91
326,323,Sporting de Charleroi,Belgian Jupiler League,1.24,1.55,38.88
327,355,FC Lugano,Swiss Raiffeisen Super League,1.09,1.38,38.77
328,325,Fortuna Sittard,Dutch Eredivisie,1.33,1.66,38.73
329,326,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
330,349,Arizona United,United Soccer League,1.42,1.77,38.63
331,339,Toronto FC,Major League Soccer,1.26,1.58,38.62
332,329,FC Arsenal Tula,Russian Premier Liga,1.13,1.43,38.61
333,330,Emmen,Dutch Eredivisie,1.31,1.64,38.57
334,331,Goztepe,Turkish Turkcell Super Lig,1.35,1.69,38.56
335,332,Henan Jianye,Chinese Super League,1.25,1.57,38.55
336,380,Odense BK,Danish SAS-Ligaen,1.09,1.38,38.51
337,348,Chicago Fire,Major League Soccer,1.37,1.73,38.47
338,334,FC Twente,Dutch Eredivisie,1.24,1.58,38.32
339,322,Hannover 96,German 2. Bundesliga,1.23,1.56,38.27
340,350,Nashville SC,Major League Soccer,1.01,1.31,38.21
341,324,SC Paderborn,German 2. Bundesliga,1.31,1.67,38.17
342,337,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
343,338,Minnesota United FC,Major League Soccer,1.34,1.71,38.13
344,340,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
345,342,Huracán,Argentina Primera Division,0.95,1.24,37.93
346,343,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.12,1.44,37.93
347,345,Willem II,Dutch Eredivisie,1.32,1.69,37.82
348,360,Columbus Crew,Major League Soccer,1.12,1.46,37.79
349,347,Empoli,Italy Serie B,1.17,1.52,37.73
350,351,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
351,333,Servette,Swiss Raiffeisen Super League,1.39,1.79,37.58
352,353,Huddersfield Town,English League Championship,1.1,1.45,37.52
353,354,Heerenveen,Dutch Eredivisie,1.31,1.7,37.51
354,344,Sporting Gijón,Spanish Segunda Division,0.68,0.92,37.44
355,356,Atromitos,Greek Super League,1.0,1.33,37.25
356,335,Tondela,Portuguese Liga,1.11,1.48,37.19
357,357,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
358,327,Vissel Kobe,Japanese J League,1.16,1.56,36.88
359,341,Hammarby,Swedish Allsvenskan,1.4,1.85,36.8
360,363,Lecce,Italy Serie B,1.16,1.56,36.78
361,359,Grenoble,French Ligue 2,0.98,1.33,36.69
362,362,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
363,364,Peterborough United,English League One,1.23,1.66,36.52
364,366,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
365,367,Eupen,Belgian Jupiler League,1.21,1.64,36.37
366,370,SV Zulte Waregem,Belgian Jupiler League,1.47,1.97,36.14
367,373,PEC Zwolle,Dutch Eredivisie,1.21,1.65,36.09
368,369,Valerenga,Norwegian Tippeligaen,1.14,1.57,35.91
369,375,OH Leuven,Belgian Jupiler League,1.33,1.81,35.91
370,376,Mazatlán FC,Mexican Primera Division Torneo Clausura,1.06,1.49,35.74
371,378,Necaxa,Mexican Primera Division Torneo Clausura,1.06,1.5,35.57
372,381,St. Truidense,Belgian Jupiler League,1.1,1.55,35.43
373,374,1. FC Heidenheim 1846,German 2. Bundesliga,1.1,1.55,35.42
374,365,Cerezo Osaka,Japanese J League,0.94,1.35,35.34
375,371,San Jose Earthquakes,Major League Soccer,1.31,1.81,35.33
376,396,BK Hacken,Swedish Allsvenskan,1.09,1.54,35.3
377,361,IF Elfsborg,Swedish Allsvenskan,1.17,1.65,35.2
378,382,Coritiba,Brasileiro Série A,0.97,1.4,35.13
379,426,Blackpool,English League One,0.94,1.36,35.1
380,385,Atlético San Luis,Mexican Primera Division Torneo Clausura,1.15,1.64,35.05
381,386,Tenerife,Spanish Segunda Division,0.72,1.07,34.95
382,387,OFI Crete,Greek Super League,1.06,1.52,34.85
383,388,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.28,1.81,34.82
384,389,Guingamp,French Ligue 2,0.92,1.35,34.8
385,390,Caykur Rizespor,Turkish Turkcell Super Lig,1.31,1.85,34.79
386,391,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
387,392,KV Kortrijk,Belgian Jupiler League,1.23,1.75,34.77
388,393,Cercle Brugge,Belgian Jupiler League,1.02,1.49,34.67
389,372,Hartberg,Austrian T-Mobile Bundesliga,1.14,1.64,34.64
390,394,FC Juárez,Mexican Primera Division Torneo Clausura,1.03,1.5,34.63
391,395,Hibernian,Scottish Premiership,1.0,1.46,34.58
392,379,Los Angeles Galaxy,Major League Soccer,1.31,1.86,34.55
393,400,Karlsruher SC,German 2. Bundesliga,1.16,1.67,34.52
394,384,SV Sandhausen,German 2. Bundesliga,1.14,1.65,34.51
395,403,Sydney FC,Australian A-League,1.01,1.49,34.39
396,358,FC St. Pauli,German 2. Bundesliga,1.2,1.73,34.39
397,397,Antalyaspor,Turkish Turkcell Super Lig,1.02,1.51,34.34
398,398,Querétaro,Mexican Primera Division Torneo Clausura,1.01,1.5,34.24
399,368,C.D. Nacional,Portuguese Liga,1.06,1.56,34.19
400,430,Real Zaragoza,Spanish Segunda Division,0.8,1.22,34.18
401,377,Real Oviedo,Spanish Segunda Division,0.89,1.36,33.96
402,404,AS Nancy Lorraine,French Ligue 2,1.1,1.64,33.76
403,405,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
404,406,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
405,383,Fuenlabrada,Spanish Segunda Division,0.88,1.35,33.63
406,408,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
407,409,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
408,401,Real Salt Lake,Major League Soccer,1.02,1.55,33.5
409,399,Houston Dynamo,Major League Soccer,1.15,1.71,33.41
410,417,Monza,Italy Serie B,0.96,1.47,33.31
411,414,FC Tokyo,Japanese J League,1.06,1.6,33.31
412,427,Sagan Tosu,Japanese J League,0.84,1.32,33.27
413,429,Sanfrecce Hiroshima,Japanese J League,0.87,1.35,33.26
414,437,Wellington Phoenix,Australian A-League,1.18,1.78,33.17
415,420,FC Cartagena,Spanish Segunda Division,0.95,1.49,32.98
416,416,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
417,424,F.B.C Unione Venezia,Italy Serie B,0.99,1.55,32.56
418,419,Mouscron-Peruwelz,Belgian Jupiler League,1.04,1.62,32.55
419,421,Ankaragucu,Turkish Turkcell Super Lig,1.07,1.66,32.5
420,422,Kayserispor,Turkish Turkcell Super Lig,0.93,1.48,32.45
421,442,Urawa Red Diamonds,Japanese J League,0.96,1.52,32.39
422,407,Oxford United,English League One,1.21,1.86,32.38
423,418,Las Palmas,Spanish Segunda Division,0.95,1.52,32.35
424,431,1. FC Nürnberg,German 2. Bundesliga,1.03,1.63,32.27
425,415,IFK Goteborg,Swedish Allsvenskan,0.95,1.52,32.23
426,402,FC Vaduz,Swiss Raiffeisen Super League,1.02,1.61,32.22
427,413,Montreal Impact,Major League Soccer,1.16,1.81,32.12
428,425,FK Volgograd,Russian Premier Liga,0.84,1.38,32.11
429,412,Sunderland,English League One,0.99,1.58,32.0
430,433,AIK,Swedish Allsvenskan,0.9,1.46,31.98
431,410,Sonderjyske,Danish SAS-Ligaen,1.11,1.75,31.87
432,428,Sochaux,French Ligue 2,0.82,1.37,31.84
433,459,Jahn Regensburg,German 2. Bundesliga,1.02,1.64,31.69
434,432,Mirandes,Spanish Segunda Division,0.82,1.37,31.65
435,423,Vejle,Danish SAS-Ligaen,1.08,1.73,31.54
436,436,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.03,1.66,31.54
437,434,Erzurumspor,Turkish Turkcell Super Lig,1.1,1.76,31.49
438,441,Kashiwa Reysol,Japanese J League,0.97,1.59,31.43
439,438,Pau,French Ligue 2,0.95,1.58,31.21
440,440,Cremonese,Italy Serie B,0.95,1.58,31.03
441,435,Tampa Bay Rowdies,United Soccer League,1.03,1.7,30.81
442,443,Amiens,French Ligue 2,0.82,1.43,30.71
443,411,SD Ponferradina,Spanish Segunda Division,0.85,1.46,30.68
444,454,AD Alcorcon,Spanish Segunda Division,0.7,1.26,30.48
445,457,Consadole Sapporo,Japanese J League,0.99,1.68,30.43
446,444,Salernitana,Italy Serie B,0.84,1.47,30.41
447,445,Bristol City,English League Championship,1.02,1.72,30.18
448,446,Panetolikos,Greek Super League,0.86,1.51,30.07
449,447,CD Sabadell,Spanish Segunda Division,0.84,1.49,30.02
450,448,Chievo Verona,Italy Serie B,0.83,1.48,29.95
451,449,Colon Santa Fe,Argentina Primera Division,0.83,1.48,29.95
452,468,SV Ried,Austrian T-Mobile Bundesliga,0.99,1.7,29.87
453,450,Godoy Cruz,Argentina Primera Division,0.94,1.64,29.76
454,473,Viking FK,Norwegian Tippeligaen,1.16,1.95,29.74
455,452,SuperSport United,South African ABSA Premier League,0.81,1.46,29.64
456,456,Kristiansund BK,Norwegian Tippeligaen,1.03,1.78,29.52
457,455,Brescia,Italy Serie B,1.04,1.8,29.43
458,458,Genclerbirligi,Turkish Turkcell Super Lig,1.14,1.93,29.38
459,439,Málaga,Spanish Segunda Division,0.64,1.24,29.04
460,461,Frosinone,Italy Serie B,0.83,1.52,29.03
461,460,San Antonio FC,United Soccer League,1.03,1.82,28.96
462,478,Brisbane Roar,Australian A-League,0.9,1.64,28.88
463,462,AC Ajaccio,French Ligue 2,0.71,1.36,28.85
464,465,DC United,Major League Soccer,0.95,1.71,28.82
465,451,St. Pölten,Austrian T-Mobile Bundesliga,1.0,1.78,28.77
466,466,Le Havre,French Ligue 2,0.86,1.58,28.69
467,464,Adelaide United,Australian A-League,1.05,1.85,28.65
468,470,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
469,480,Perth Glory,Australian A-League,1.08,1.91,28.37
470,472,RKC,Dutch Eredivisie,1.03,1.85,28.36
471,474,Rodez,French Ligue 2,0.75,1.45,28.27
472,469,Odd BK,Norwegian Tippeligaen,1.1,1.95,28.27
473,463,Austin FC,Major League Soccer,0.89,1.66,28.25
474,475,Waasland-Beveren,Belgian Jupiler League,1.12,1.99,28.24
475,476,Larissa,Greek Super League,0.7,1.38,28.18
476,477,Pisa,Italy Serie B,0.99,1.8,28.16
477,467,Western Sydney FC,Australian A-League,1.28,2.21,28.13
478,485,Lincoln City,English League One,0.93,1.73,28.07
479,479,Aberdeen,Scottish Premiership,0.68,1.36,28.07
480,484,Mjallby,Swedish Allsvenskan,0.9,1.69,27.83
481,491,Louisville City FC,United Soccer League,0.95,1.77,27.68
482,481,Lamia,Greek Super League,0.55,1.18,27.53
483,486,Avispa Fukuoka,Japanese J League,0.89,1.7,27.4
484,482,Charlton Athletic,English League One,0.93,1.76,27.4
485,471,Cittadella,Italy Serie B,0.75,1.53,27.0
486,487,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
487,488,St Johnstone,Scottish Premiership,0.73,1.5,26.77
488,489,Orange County SC,United Soccer League,0.89,1.76,26.56
489,483,Gamba Osaka,Japanese J League,0.71,1.49,26.52
490,490,Stabaek,Norwegian Tippeligaen,0.87,1.74,26.39
491,523,Central Coast Mariners,Australian A-League,0.96,1.88,26.2
492,492,Livingston,Scottish Premiership,0.85,1.72,26.18
493,493,Spal,Italy Serie B,0.79,1.64,26.07
494,494,Macarthur FC,Australian A-League,0.88,1.78,26.0
495,453,Castellon,Spanish Segunda Division,0.71,1.52,26.0
496,495,FC Xanthi,Greek Super League,0.58,1.33,25.81
497,496,VVV Venlo,Dutch Eredivisie,1.15,2.2,25.51
498,497,FC Tambov,Russian Premier Liga,0.9,1.85,25.33
499,500,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.76,1.65,25.17
500,502,Gillingham,English League One,0.86,1.8,25.11
501,499,Albacete,Spanish Segunda Division,0.63,1.45,25.02
502,504,Valenciennes,French Ligue 2,1.0,2.01,25.0
503,505,Reggina,Italy Serie B,0.77,1.68,24.98
504,506,Dunkerque,French Ligue 2,0.72,1.61,24.9
505,520,Lugo,Spanish Segunda Division,0.75,1.66,24.73
506,515,Erzgebirge Aue,German 2. Bundesliga,0.89,1.88,24.71
507,509,Varbergs BoIS FC,Swedish Allsvenskan,0.93,1.94,24.69
508,501,Haugesund,Norwegian Tippeligaen,0.84,1.81,24.69
509,503,Sacramento Republic FC,United Soccer League,0.83,1.8,24.4
510,511,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
511,534,Degerfors IF,Swedish Allsvenskan,0.75,1.68,24.27
512,512,Motherwell,Scottish Premiership,0.84,1.83,24.21
513,513,Caen,French Ligue 2,0.72,1.64,24.12
514,514,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
515,516,Pordenone Calcio,Italy Serie B,0.68,1.6,23.99
516,507,Lyngby,Danish SAS-Ligaen,0.96,2.03,23.95
517,518,St Mirren,Scottish Premiership,0.68,1.6,23.92
518,510,Stromsgodset,Norwegian Tippeligaen,0.94,2.02,23.79
519,508,VfL Osnabruck,German 2. Bundesliga,0.84,1.86,23.72
520,529,FC Cincinnati,Major League Soccer,0.85,1.89,23.59
521,528,Vancouver Whitecaps,Major League Soccer,0.83,1.86,23.53
522,521,Chambly Thelle FC,French Ligue 2,0.85,1.9,23.39
523,519,Eintracht Braunschweig,German 2. Bundesliga,0.73,1.72,23.22
524,542,Östersunds FK,Swedish Allsvenskan,0.77,1.8,23.17
525,525,ADO Den Haag,Dutch Eredivisie,0.96,2.09,23.12
526,526,Denizlispor,Turkish Turkcell Super Lig,0.9,2.0,23.05
527,533,Würzburger Kickers,German 2. Bundesliga,0.87,1.96,23.0
528,527,Indy Eleven,United Soccer League,0.76,1.79,22.99
529,517,IK Sirius,Swedish Allsvenskan,0.88,1.98,22.87
530,498,AC Horsens,Danish SAS-Ligaen,0.87,1.98,22.74
531,531,Tokushima Vortis,Japanese J League,0.67,1.67,22.58
532,532,Dundee Utd,Scottish Premiership,0.67,1.68,22.56
533,535,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
534,536,Portsmouth,English League One,0.73,1.78,22.34
535,539,Birmingham Legion FC,United Soccer League,0.83,1.95,22.33
536,537,Burton Albion,English League One,0.86,2.0,22.3
537,548,Logrones,Spanish Segunda Division,0.58,1.54,22.27
538,538,Vicenza,Italy Serie B,0.69,1.73,22.26
539,540,Ascoli,Italy Serie B,0.67,1.69,22.22
540,524,Shimizu S-Pulse,Japanese J League,0.78,1.88,22.1
541,522,Western United,Australian A-League,0.85,2.01,21.85
542,543,New Mexico United,United Soccer League,0.77,1.89,21.84
543,541,Panionios,Greek Super League,0.51,1.45,21.84
544,545,Sarpsborg,Norwegian Tippeligaen,0.67,1.72,21.83
545,553,Kalmar FF,Swedish Allsvenskan,0.65,1.69,21.76
546,544,Pittsburgh Riverhounds,United Soccer League,0.73,1.84,21.42
547,546,Milton Keynes Dons,English League One,0.79,1.95,21.41
548,549,Volos NFC,Greek Super League,0.65,1.73,21.22
549,558,SK Brann,Norwegian Tippeligaen,0.82,2.02,21.1
550,550,Charlotte Independence,United Soccer League,0.77,1.95,21.05
551,547,Shonan Bellmare,Japanese J League,0.57,1.59,21.05
552,530,Orebro SK,Swedish Allsvenskan,0.79,1.97,21.05
553,551,El Paso Locomotive FC,United Soccer League,0.69,1.81,20.97
554,555,Kilmarnock,Scottish Premiership,0.77,1.98,20.43
555,564,Halmstads BK,Swedish Allsvenskan,0.64,1.78,20.35
556,552,Newcastle Jets,Australian A-League,0.76,1.98,20.3
557,559,Hamilton Academical,Scottish Premiership,0.68,1.88,19.93
558,560,Chateauroux,French Ligue 2,0.63,1.79,19.87
559,554,Lillestrom,Norwegian Tippeligaen,0.74,2.0,19.65
560,561,San Diego Loyal SC,United Soccer League,0.72,2.0,19.09
561,565,Mjondalen,Norwegian Tippeligaen,0.62,1.84,18.98
562,562,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
563,563,Fleetwood Town,English League One,0.54,1.71,18.88
564,566,Niort,French Ligue 2,0.6,1.82,18.71
565,567,Ross County,Scottish Premiership,0.75,2.09,18.62
566,576,Vegalta Sendai,Japanese J League,0.64,1.91,18.58
567,557,Tromso,Norwegian Tippeligaen,0.7,2.02,18.53
568,589,Sandefjord,Norwegian Tippeligaen,0.65,1.92,18.48
569,569,Accrington Stanley,English League One,0.8,2.19,18.45
570,570,Rochdale,English League One,0.78,2.15,18.44
571,572,Crewe Alexandra,English League One,0.66,1.96,18.3
572,580,Miami FC,United Soccer League,0.75,2.11,18.29
573,568,Austin Bold FC,United Soccer League,0.76,2.13,18.25
574,556,Tulsa Roughnecks,United Soccer League,0.71,2.05,18.21
575,573,US Pescara,Italy Serie B,0.57,1.81,18.14
576,574,Colorado Springs Switchbacks FC,United Soccer League,0.72,2.08,18.11
577,575,Wigan,English League One,0.74,2.12,18.09
578,571,Oita Trinita,Japanese J League,0.55,1.8,17.88
579,578,Ipswich Town,English League One,0.44,1.6,17.87
580,579,Doncaster Rovers,English League One,0.71,2.09,17.81
581,582,Morecambe,English League Two,0.69,2.06,17.71
582,581,Shrewsbury Town,English League One,0.57,1.85,17.61
583,583,Exeter City,English League Two,0.6,1.93,17.31
584,584,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
585,585,AFC Wimbledon,English League One,0.63,2.0,17.12
586,586,Bolton,English League Two,0.54,1.85,17.01
587,587,Cheltenham Town,English League Two,0.47,1.71,16.95
588,588,Reggiana,Italy Serie B,0.51,1.8,16.89
589,577,Melbourne Victory,Australian A-League,0.82,2.38,16.61
590,590,Salford City,English League Two,0.39,1.6,16.46
591,591,Cosenza,Italy Serie B,0.54,1.9,16.32
592,592,Cambridge United,English League Two,0.64,2.13,15.96
593,593,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
594,594,Memphis 901 FC,United Soccer League,0.67,2.23,15.3
595,596,Virtus Entella,Italy Serie B,0.53,2.05,14.53
596,597,Northampton Town,English League One,0.47,1.96,14.18
597,599,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
598,595,Charleston Battery,United Soccer League,0.52,2.1,13.87
599,600,Mansfield Town,English League Two,0.49,2.03,13.84
600,598,Rio Grande Valley FC Toros,United Soccer League,0.51,2.09,13.6
601,601,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
602,602,Swindon Town,English League One,0.7,2.49,13.37
603,606,Yokohama FC,Japanese J League,0.56,2.24,13.23
604,603,Oldham Athletic,English League Two,0.77,2.64,13.17
605,604,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
606,610,Newport County,English League Two,0.35,1.83,12.81
607,605,Plymouth Argyle,English League One,0.55,2.26,12.74
608,607,Carlisle United,English League Two,0.42,2.05,12.32
609,608,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
610,609,Tacoma Defiance,United Soccer League,0.54,2.29,12.25
611,612,Real Monarchs SLC,United Soccer League,0.46,2.19,11.76
612,611,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
613,622,Atlanta United 2,United Soccer League,0.53,2.35,11.7
614,617,Oakland Roots,United Soccer League,0.43,2.15,11.56
615,613,Oklahoma City Energy FC,United Soccer League,0.45,2.22,11.27
616,614,Port Vale,English League Two,0.37,2.05,11.24
617,616,Hartford Athletic,United Soccer League,0.45,2.27,10.92
618,615,Tranmere Rovers,English League Two,0.31,1.95,10.88
619,618,Forest Green Rovers,English League Two,0.42,2.21,10.8
620,620,Bristol Rovers,English League One,0.3,2.02,10.07
621,621,Stevenage,English League Two,0.2,1.79,9.89
622,623,Barrow,English League Two,0.34,2.19,9.62
623,619,LA Galaxy II,United Soccer League,0.41,2.38,9.37
624,624,Leyton Orient,English League Two,0.32,2.21,9.09
625,625,Crawley Town,English League Two,0.36,2.32,8.96
626,626,Las Vegas Lights FC,United Soccer League,0.44,2.55,8.59
627,633,New York Red Bulls II,United Soccer League,0.43,2.54,8.54
628,627,Bradford City,English League Two,0.23,2.05,8.44
629,628,Southend United,English League Two,0.2,1.99,8.29
630,630,Walsall,English League Two,0.2,2.02,8.13
631,631,Harrogate Town,English League Two,0.33,2.36,8.09
632,629,Swope Park Rangers,United Soccer League,0.35,2.41,8.05
633,632,Loudoun United FC,United Soccer League,0.35,2.46,7.78
634,634,Colchester United,English League Two,0.2,2.12,7.42
635,635,Grimsby Town,English League Two,0.2,2.29,6.44
636,636,Scunthorpe,English League Two,0.2,2.38,5.95
